venu-cast API forecast diagnostics

Tier distribution: Counter({'maturing': 34, 'ramping': 13, 'mature_core': 12, 'mature_noncore': 6, 'new': 3})

Growth multipliers (annual, compounding monthly):
  mature_core: +5%
  mature_noncore: +3%
  maturing: +12%
  ramping: +28%
  new: +45%
  fallback: +5%

Fits:
                                     venue    stream          method        rmse      cv  n_days
76                         Yo-Chi Burleigh    retail  Prophet (304d)     35.9608  0.8326     360
77                          Yo-Chi Burwood    retail  Prophet (184d)     46.3252  0.6296     360
78                          Yo-Chi Carlton    retail  Prophet (347d)     62.6019  0.5752     360
79                    Yo-Chi Castle Towers    retail  Prophet (165d)     53.2369  0.8571     360
80                        Yo-Chi Chadstone    retail  Prophet (313d)     42.5310  0.9764     360
81                        Yo-Chi Chatswood    retail  Prophet (215d)     49.2438  0.7693     360
82         Yo-Chi Chevron Surfers Paradise    retail  Prophet (271d)     33.5824  0.8706     360
83                      Yo-Chi Chippendale    retail  Prophet (127d)     76.7846  1.5694     360
84                    Yo-Chi Circular Quay    retail   Prophet (78d)     28.0613  0.8654     360
85                        Yo-Chi Claremont    retail  Prophet (324d)     62.5354  0.9634     360
86                 Yo-Chi Cockburn Central    retail  Prophet (289d)    111.8586  1.0321     360
87                           Yo-Chi Coogee    retail  Prophet (343d)     40.9126  0.6263     360
88                         Yo-Chi Cronulla    retail  Prophet (236d)     48.5811  0.9684     360
89                       Yo-Chi Currambine    retail  Prophet (349d)     87.1818  0.8701     360
90                       Yo-Chi Double Bay    retail  Prophet (341d)     44.7202  0.6163     360
91                         Yo-Chi Eastland    retail  Prophet (224d)     84.8426  1.2171     360
92                    Yo-Chi Forrest Chase    retail  Prophet (341d)     72.5822  0.9410     360
93                        Yo-Chi Fremantle    retail  Prophet (337d)     46.6136  0.6962     360
94                         Yo-Chi Gasworks    retail  Prophet (334d)     55.2313  0.9182     360
95                        Yo-Chi George St    retail  Prophet (235d)     83.5361  1.0252     360
96                          Yo-Chi Glenelg    retail  Prophet (343d)     67.4128  1.0952     360
97                        Yo-Chi Gouger St    retail  Prophet (349d)     44.8522  0.6462     360
98                     Yo-Chi Harbour Town    retail   Prophet (15d)    119.7922  1.3173     360
99                         Yo-Chi Hawthorn    retail  Prophet (360d)     61.1847  0.6624     360
100                    Yo-Chi Henley Beach    retail  Prophet (325d)     37.1195  0.6972     360
101                        Yo-Chi Highgate    retail  Prophet (347d)     75.9286  0.9040     360
102                       Yo-Chi Highpoint    retail  Prophet (256d)     60.4148  1.0893     360
103                   Yo-Chi Indooroopilly    retail   Prophet (46d)     63.7006  1.0967     360
104                       Yo-Chi Karrinyup    retail  Prophet (343d)    178.3906  1.1951     360
105                   Yo-Chi Kawana Waters    retail   Prophet (36d)     36.4158  0.7572     360
106                       Yo-Chi Lane Cove    retail  Prophet (360d)     45.2787  0.5726     360
107                     Yo-Chi Leederville    retail  Prophet (359d)     58.0596  0.6459     360
108                       Yo-Chi Macquarie    retail  Prophet (218d)     42.4241  1.0152     360
109                         Yo-Chi Malvern    retail  Prophet (343d)     49.9006  0.7131     360
110                        Yo-Chi Mandurah    retail  Prophet (322d)     62.2151  1.0386     360
111                           Yo-Chi Manly    retail  Prophet (273d)     34.4721  0.8281     360
112                      Yo-Chi Mt Gravatt    retail  Prophet (342d)     75.6030  1.0021     360
113                         Yo-Chi Newtown    retail  Prophet (361d)     55.3281  0.5726     360
114                           Yo-Chi Noosa    retail  Prophet (280d)     33.9546  0.8748     360
115                         Yo-Chi Norwood    retail  Prophet (353d)     69.9042  0.8223     360
116                      Yo-Chi Paddington    retail  Prophet (201d)     45.7163  0.8765     360
117                         Yo-Chi Penrith    retail  Prophet (316d)     48.3267  0.8928     360
118                        Yo-Chi Prospect    retail  Prophet (273d)     56.0598  0.9195     360
119                              Yo-Chi QV    retail  Prophet (147d)    106.8482  1.0136     360
120                        Yo-Chi Randwick    retail  Prophet (140d)     38.3280  0.7673     360
121                          Yo-Chi Robina    retail  Prophet (301d)     47.5481  0.9738     360
122                      Yo-Chi Rouse Hill    retail  Prophet (149d)     60.1736  1.0394     360
123                       Yo-Chi Semaphore    retail  Prophet (356d)     52.2888  0.6299     360
124                     Yo-Chi South Perth    retail  Prophet (327d)     46.6485  0.8657     360
125                       Yo-Chi Southbank    retail   Prophet (48d)     40.6421  0.9030     360
126                       Yo-Chi Southland    retail  Prophet (184d)     32.9224  0.9064     360
127                  Yo-Chi Sunshine Plaza    retail  Prophet (295d)     32.8634  0.8054     360
128                     Yo-Chi Surry Hills    retail  Prophet (361d)     53.4076  0.5745     360
129                  Yo-Chi Tea Tree Plaza    retail  Prophet (336d)     68.9938  0.8290     360
130  Yo-Chi The Esplanade Surfers Paradise    retail  Prophet (302d)     37.5974  0.7876     360
131                        Yo-Chi Top Ryde    retail  Prophet (266d)     52.3141  1.1682     360
132                        Yo-Chi Vic Park    retail  Prophet (362d)     77.6428  0.7522     360
133                        Yo-Chi West End    retail  Prophet (286d)     40.3899  0.9797     360
134                   Yo-Chi Whitford City    retail  Prophet (333d)    103.5132  1.3211     360
135                         Yo-Chi Windsor    retail  Prophet (337d)     48.5499  0.9177     360
136                       Yo-Chi Albert St  discount         Prophet    380.6062  1.2347    1306
137                       Yo-Chi Balaclava  discount         Prophet    265.4045  1.6039    1306
138                      Yo-Chi Barangaroo  discount         Prophet    850.1798  1.4155    1306
139                           Yo-Chi Bondi  discount         Prophet    406.6540  1.1624    1306
140                  Yo-Chi Bondi Junction  discount  Prophet (340d)    481.6048  1.3232    1306
141                        Yo-Chi Brighton  discount         Prophet    289.0733  1.1905    1306
142                      Yo-Chi Broadbeach  discount         Prophet    262.8654  1.0462    1306
143                         Yo-Chi Bulimba  discount         Prophet    358.9079  1.0320    1306
144                        Yo-Chi Burleigh  discount         Prophet    455.8692  1.1655    1306
145                         Yo-Chi Burwood  discount  Prophet (191d)    686.8538  1.1613    1306
146                         Yo-Chi Carlton  discount         Prophet    877.8398  2.4229    1306
147                   Yo-Chi Castle Towers  discount  Prophet (184d)    742.2689  1.4009    1306
148                       Yo-Chi Chadstone  discount         Prophet    682.1522  1.4416    1306
149                       Yo-Chi Chatswood  discount  Prophet (228d)    706.7329  1.2499    1306
150        Yo-Chi Chevron Surfers Paradise  discount         Prophet    294.5466  1.6855    1306
151                     Yo-Chi Chippendale  discount  Prophet (142d)   1498.9916  2.6216    1306
152                   Yo-Chi Circular Quay  discount         Prophet    398.7577  1.1653    1306
153                       Yo-Chi Claremont  discount  Prophet (360d)    455.6512  0.9272    1306
154                Yo-Chi Cockburn Central  discount  Prophet (315d)    605.9243  0.7586    1306
155                          Yo-Chi Coogee  discount         Prophet    425.8792  0.9237    1306
156                        Yo-Chi Cronulla  discount  Prophet (290d)    490.0627  1.1430    1306
157                      Yo-Chi Currambine  discount         Prophet    487.2785  0.7107    1306
158                      Yo-Chi Double Bay  discount         Prophet    220.9449  0.9196    1306
159                        Yo-Chi Eastland  discount  Prophet (266d)    578.2906  1.0107    1306
160                   Yo-Chi Forrest Chase  discount         Prophet    705.8289  1.2729    1306
161                       Yo-Chi Fremantle  discount         Prophet    396.4408  1.0417    1306
162                        Yo-Chi Gasworks  discount         Prophet    404.7374  1.1381    1306
163                       Yo-Chi George St  discount  Prophet (244d)   1022.1665  1.2746    1306
164                         Yo-Chi Glenelg  discount         Prophet    720.4791  1.7309    1306
165                       Yo-Chi Gouger St  discount         Prophet    596.2550  1.8674    1306
166                    Yo-Chi Harbour Town  discount   Prophet (27d)    296.3896  0.3836    1306
167                        Yo-Chi Hawthorn  discount         Prophet    738.7659  2.0582    1306
168                    Yo-Chi Henley Beach  discount         Prophet    967.7064  2.6999    1306
